timestamp,UV index,insolation,rainfall,airTemp,airDensity,windSpeed
20160401 20:00,0.3,9,1,6.3,1.27,5
20160401 20:30,0.2,6,0.5,5.7,1.27,5
20160401 21:00,0,0,0,5,1.27,5
20160401 21:30,0,0,0,4.8,1.27,5
20160401 22:00,0,0,0,4.7,1.27,5
20160401 22:30,0,0,0,4.5,1.27,5
20160401 23:00,0,0,0,4.3,1.27,5
20160401 23:30,0,0,0,4.2,1.27,5
20160402 00:00,0,0,1,5,1.27,5
20160402 00:30,0,0,1,4.8,1.27,5
20160402 01:00,0,0,1,4.7,1.27,5
20160402 01:30,0,0,1,4.5,1.27,5
20160402 02:00,0,0,1,4.3,1.27,5
20160402 02:30,0,0,1,4.2,1.27,5
20160402 03:00,0,0,1,4,1.27,5
20160402 03:30,0.2,6,0.8,3.7,1.27,5
20160402 04:00,0.3,9,0.7,3.3,1.27,5
20160402 04:30,0.5,15,0.5,3,1.27,5
20160402 05:00,0.7,21,0.3,2.7,1.27,5
20160402 05:30,0.8,24,0.2,2.3,1.27,5
20160402 06:00,1,30,0,2,1.27,5
20160402 06:30,1.2,36,0,2.8,1.27,5
20160402 07:00,1.3,39,0,3.7,1.27,5
20160402 07:30,1.5,45,0,4.5,1.27,5
20160402 08:00,1.7,51,0,5.3,1.27,5
20160402 08:30,1.8,54,0,6.2,1.27,5
20160402 09:00,2,60,0,7,1.27,5
20160402 09:30,2.3,69,0.7,7.3,1.27,5
20160402 10:00,2.7,81,1.3,7.7,1.27,5
20160402 10:30,3,90,2,8,1.27,5
20160402 11:00,3.3,99,2.7,8.3,1.27,5
20160402 11:30,3.7,111,3.3,8.7,1.27,5
20160402 12:00,4,120,4,9,1.27,5
20160402 12:30,3.7,111,3.8,9.2,1.27,5
20160402 13:00,3.3,99,3.7,9.3,1.27,5
20160402 13:30,3,90,3.5,9.5,1.27,5
20160402 14:00,2.7,81,3.3,9.7,1.27,5
20160402 14:30,2.3,69,3.2,9.8,1.27,5
20160402 15:00,2,60,3,10,1.27,5
20160402 15:30,1.8,54,3,9.8,1.27,5
20160402 16:00,1.7,51,3,9.7,1.27,5
20160402 16:30,1.5,45,3,9.5,1.27,5
20160402 17:00,1.3,39,3,9.3,1.27,5
20160402 17:30,1.2,36,3,9.2,1.27,5
20160402 18:00,1,30,3,9,1.27,5
20160402 18:30,0.8,24,2.5,8.3,1.27,5
20160402 19:00,0.7,21,2,7.7,1.27,5
20160402 19:30,0.5,15,1.5,7,1.27,5
20160402 20:00,0.3,9,1,6.3,1.27,5
20160402 20:30,0.2,6,0.5,5.7,1.27,5
20160402 21:00,0,0,0,5,1.27,5
20160402 21:30,0,0,0,4.8,1.27,5
20160402 22:00,0,0,0,4.7,1.27,5
20160402 22:30,0,0,0,4.5,1.27,5
20160402 23:00,0,0,0,4.3,1.27,5
20160402 23:30,0,0,0,4.2,1.27,5
20160403 00:00,0,0,1,5,1.27,5
20160403 00:30,0,0,1,4.8,1.27,5
20160403 01:00,0,0,1,4.7,1.27,5
20160403 01:30,0,0,1,4.5,1.27,5
20160403 02:00,0,0,1,4.3,1.27,5
20160403 02:30,0,0,1,4.2,1.27,5
20160403 03:00,0,0,1,4,1.27,5
20160403 03:30,0.2,6,0.8,3.7,1.27,5
20160403 04:00,0.3,9,0.7,3.3,1.27,5
20160403 04:30,0.5,15,0.5,3,1.27,5
20160403 05:00,0.7,21,0.3,2.7,1.27,5
20160403 05:30,0.8,24,0.2,2.3,1.27,5
20160403 06:00,1,30,0,2,1.27,5
20160403 06:30,1.2,36,0,2.8,1.27,5
20160403 07:00,1.3,39,0,3.7,1.27,5
20160403 07:30,1.5,45,0,4.5,1.27,5
20160403 08:00,1.7,51,0,5.3,1.27,5
20160403 08:30,1.8,54,0,6.2,1.27,5
20160403 09:00,2,60,0,7,1.27,5
20160403 09:30,2.3,69,0.7,7.3,1.27,5
20160403 10:00,2.7,81,1.3,7.7,1.27,5
20160403 10:30,3,90,2,8,1.27,5
20160403 11:00,3.3,99,2.7,8.3,1.27,5
20160403 11:30,3.7,111,3.3,8.7,1.27,5
20160403 12:00,4,120,4,9,1.27,5
20160403 12:30,3.7,111,3.8,9.2,1.27,5
20160403 13:00,3.3,99,3.7,9.3,1.27,5
20160403 13:30,3,90,3.5,9.5,1.27,5
20160403 14:00,2.7,81,3.3,9.7,1.27,5
20160403 14:30,2.3,69,3.2,9.8,1.27,5
20160403 15:00,2,60,3,10,1.27,5
20160403 15:30,1.8,54,3,9.8,1.27,5
20160403 16:00,1.7,51,3,9.7,1.27,5
20160403 16:30,1.5,45,3,9.5,1.27,5
20160403 17:00,1.3,39,3,9.3,1.27,5
20160403 17:30,1.2,36,3,9.2,1.27,5
20160403 18:00,1,30,3,9,1.27,5
20160403 18:30,0.8,24,2.5,8.3,1.27,5
20160403 19:00,0.7,21,2,7.7,1.27,5
20160403 19:30,0.5,15,1.5,7,1.27,5
20160403 20:00,0.3,9,1,6.3,1.27,5
20160403 20:30,0.2,6,0.5,5.7,1.27,5
20160403 21:00,0,0,0,5,1.27,5
20160403 21:30,0,0,0,4.8,1.27,5
20160403 22:00,0,0,0,4.7,1.27,5
20160403 22:30,0,0,0,4.5,1.27,5
20160403 23:00,0,0,0,4.3,1.27,5
20160403 23:30,0,0,0,4.2,1.27,5
20160404 00:00,0,0,1,5,1.27,5
20160404 00:30,0,0,1,4.8,1.27,5
20160404 01:00,0,0,1,4.7,1.27,5
20160404 01:30,0,0,1,4.5,1.27,5
20160404 02:00,0,0,1,4.3,1.27,5
20160404 02:30,0,0,1,4.2,1.27,5
20160404 03:00,0,0,1,4,1.27,5
20160404 03:30,0.2,6,0.8,3.7,1.27,5
20160404 04:00,0.3,9,0.7,3.3,1.27,5
20160404 04:30,0.5,15,0.5,3,1.27,5
20160404 05:00,0.7,21,0.3,2.7,1.27,5
20160404 05:30,0.8,24,0.2,2.3,1.27,5
20160404 06:00,1,30,0,2,1.27,5
20160404 06:30,1.2,36,0,2.8,1.27,5
20160404 07:00,1.3,39,0,3.7,1.27,5
20160404 07:30,1.5,45,0,4.5,1.27,5
20160404 08:00,1.7,51,0,5.3,1.27,5
20160404 08:30,1.8,54,0,6.2,1.27,5
20160404 09:00,2,60,0,7,1.27,5
20160404 09:30,2.3,69,0.7,7.3,1.27,5
20160404 10:00,2.7,81,1.3,7.7,1.27,5
20160404 10:30,3,90,2,8,1.27,5
20160404 11:00,3.3,99,2.7,8.3,1.27,5
20160404 11:30,3.7,111,3.3,8.7,1.27,5
20160404 12:00,4,120,4,9,1.27,5
20160404 12:30,3.7,111,3.8,9.2,1.27,5
20160404 13:00,3.3,99,3.7,9.3,1.27,5
20160404 13:30,3,90,3.5,9.5,1.27,5
20160404 14:00,2.7,81,3.3,9.7,1.27,5
20160404 14:30,2.3,69,3.2,9.8,1.27,5
20160404 15:00,2,60,3,10,1.27,5
20160404 15:30,1.8,54,3,9.8,1.27,5
20160404 16:00,1.7,51,3,9.7,1.27,5
20160404 16:30,1.5,45,3,9.5,1.27,5
20160404 17:00,1.3,39,3,9.3,1.27,5
20160404 17:30,1.2,36,3,9.2,1.27,5
20160404 18:00,1,30,3,9,1.27,5
20160404 18:30,0.8,24,2.5,8.3,1.27,5
20160404 19:00,0.7,21,2,7.7,1.27,5
20160404 19:30,0.5,15,1.5,7,1.27,5
20160404 20:00,0.3,9,1,6.3,1.27,5
20160404 20:30,0.2,6,0.5,5.7,1.27,5
20160404 21:00,0,0,0,5,1.27,5
20160404 21:30,0,0,0,4.8,1.27,5
20160404 22:00,0,0,0,4.7,1.27,5
20160404 22:30,0,0,0,4.5,1.27,5
20160404 23:00,0,0,0,4.3,1.27,5
20160404 23:30,0,0,0,4.2,1.27,5
20160405 00:00,0,0,1,5,1.27,5
20160405 00:30,0,0,1,4.8,1.27,5
20160405 01:00,0,0,1,4.7,1.27,5
20160405 01:30,0,0,1,4.5,1.27,5
20160405 02:00,0,0,1,4.3,1.27,5
20160405 02:30,0,0,1,4.2,1.27,5
20160405 03:00,0,0,1,4,1.27,5
20160405 03:30,0.2,6,0.8,3.7,1.27,5
20160405 04:00,0.3,9,0.7,3.3,1.27,5
20160405 04:30,0.5,15,0.5,3,1.27,5
20160405 05:00,0.7,21,0.3,2.7,1.27,5
20160405 05:30,0.8,24,0.2,2.3,1.27,5
20160405 06:00,1,30,0,2,1.27,5
20160405 06:30,1.2,36,0,2.8,1.27,5
20160405 07:00,1.3,39,0,3.7,1.27,5
20160405 07:30,1.5,45,0,4.5,1.27,5
20160405 08:00,1.7,51,0,5.3,1.27,5
20160405 08:30,1.8,54,0,6.2,1.27,5
20160405 09:00,2,60,0,7,1.27,5
20160405 09:30,2.3,69,0.7,7.3,1.27,5
20160405 10:00,2.7,81,1.3,7.7,1.27,5
20160405 10:30,3,90,2,8,1.27,5
20160405 11:00,3.3,99,2.7,8.3,1.27,5
20160405 11:30,3.7,111,3.3,8.7,1.27,5
20160405 12:00,4,120,4,9,1.27,5
20160405 12:30,3.7,111,3.8,9.2,1.27,5
20160405 13:00,3.3,99,3.7,9.3,1.27,5
20160405 13:30,3,90,3.5,9.5,1.27,5
20160405 14:00,2.7,81,3.3,9.7,1.27,5
20160405 14:30,2.3,69,3.2,9.8,1.27,5
20160405 15:00,2,60,3,10,1.27,5
20160405 15:30,1.8,54,3,9.8,1.27,5
20160405 16:00,1.7,51,3,9.7,1.27,5
20160405 16:30,1.5,45,3,9.5,1.27,5
20160405 17:00,1.3,39,3,9.3,1.27,5
20160405 17:30,1.2,36,3,9.2,1.27,5
20160405 18:00,1,30,3,9,1.27,5
20160405 18:30,0.8,24,2.5,8.3,1.27,5
20160405 19:00,0.7,21,2,7.7,1.27,5
20160405 19:30,0.5,15,1.5,7,1.27,5
20160405 20:00,0.3,9,1,6.3,1.27,5
20160405 20:30,0.2,6,0.5,5.7,1.27,5
20160405 21:00,0,0,0,5,1.27,5
20160405 21:30,0,0,0,4.8,1.27,5
20160405 22:00,0,0,0,4.7,1.27,5
20160405 22:30,0,0,0,4.5,1.27,5
20160405 23:00,0,0,0,4.3,1.27,5
20160405 23:30,0,0,0,4.2,1.27,5
20160406 00:00,0,0,3,7,1.27,5
20160406 00:30,0,0,3.5,7,1.27,5
20160406 01:00,0,0,4,7,1.27,5
20160406 01:30,0,0,4.5,7,1.27,5
20160406 02:00,0,0,5,7,1.27,5
20160406 02:30,0,0,5.5,7,1.27,5
20160406 03:00,0,0,6,7,1.27,5
20160406 03:30,0.2,6,8.2,7,1.27,5
20160406 04:00,0.3,9,10.3,7,1.27,5
20160406 04:30,0.5,15,12.5,7,1.27,5
20160406 05:00,0.7,21,14.7,7,1.27,5
20160406 05:30,0.8,24,16.8,7,1.27,5
20160406 06:00,1,30,19,7,1.27,5
20160406 06:30,1.2,36,23,7.3,1.27,5
20160406 07:00,1.3,39,27,7.7,1.27,5
20160406 07:30,1.5,45,31,8,1.27,5
20160406 08:00,1.7,51,35,8.3,1.27,5
20160406 08:30,1.8,54,39,8.7,1.27,5
20160406 09:00,2,60,43,9,1.27,5
20160406 09:30,2.3,69,43.7,9,1.27,5
20160406 10:00,2.7,81,44.3,9,1.27,5
20160406 10:30,3,90,45,9,1.27,5
20160406 11:00,3.3,99,45.7,9,1.27,5
20160406 11:30,3.7,111,46.3,9,1.27,5
20160406 12:00,4,120,47,9,1.27,5
20160406 12:30,3.7,111,45.2,9,1.27,5
20160406 13:00,3.3,99,43.3,9,1.27,5
20160406 13:30,3,90,41.5,9,1.27,5
20160406 14:00,2.7,81,39.7,9,1.27,5
20160406 14:30,2.3,69,37.8,9,1.27,5
20160406 15:00,2,60,36,9,1.27,5
20160406 15:30,1.8,54,36.8,8.7,1.27,5
20160406 16:00,1.7,51,37.7,8.3,1.27,5
20160406 16:30,1.5,45,38.5,8,1.27,5
20160406 17:00,1.3,39,39.3,7.7,1.27,5
20160406 17:30,1.2,36,40.2,7.3,1.27,5
20160406 18:00,1,30,41,7,1.27,5
20160406 18:30,0.8,24,40.3,6.7,1.27,5
20160406 19:00,0.7,21,39.7,6.3,1.27,5
20160406 19:30,0.5,15,39,6,1.27,5
20160406 20:00,0.3,9,38.3,5.7,1.27,5
20160406 20:30,0.2,6,37.7,5.3,1.27,5
20160406 21:00,0,0,37,5,1.27,5
20160406 21:30,0,0,31.8,4.8,1.27,5
20160406 22:00,0,0,26.7,4.7,1.27,5
20160406 22:30,0,0,21.5,4.5,1.27,5
20160406 23:00,0,0,16.3,4.3,1.27,5
20160406 23:30,0,0,11.2,4.2,1.27,5
20160407 00:00,0,0,3,7,1.27,5
20160407 00:30,0,0,3.5,7,1.27,5
20160407 01:00,0,0,4,7,1.27,5
20160407 01:30,0,0,4.5,7,1.27,5
20160407 02:00,0,0,5,7,1.27,5
20160407 02:30,0,0,5.5,7,1.27,5
20160407 03:00,0,0,6,7,1.27,5
20160407 03:30,0.2,6,8.2,7,1.27,5
20160407 04:00,0.3,9,10.3,7,1.27,5
20160407 04:30,0.5,15,12.5,7,1.27,5
20160407 05:00,0.7,21,14.7,7,1.27,5
20160407 05:30,0.8,24,16.8,7,1.27,5
20160407 06:00,1,30,19,7,1.27,5
20160407 06:30,1.2,36,23,7.3,1.27,5
20160407 07:00,1.3,39,27,7.7,1.27,5
20160407 07:30,1.5,45,31,8,1.27,5
20160407 08:00,1.7,51,35,8.3,1.27,5
20160407 08:30,1.8,54,39,8.7,1.27,5
20160407 09:00,2,60,43,9,1.27,5
20160407 09:30,2.3,69,43.7,9,1.27,5
20160407 10:00,2.7,81,44.3,9,1.27,5
20160407 10:30,3,90,45,9,1.27,5
20160407 11:00,3.3,99,45.7,9,1.27,5
20160407 11:30,3.7,111,46.3,9,1.27,5
20160407 12:00,4,120,47,9,1.27,5
20160407 12:30,3.7,111,45.2,9,1.27,5
20160407 13:00,3.3,99,43.3,9,1.27,5
20160407 13:30,3,90,41.5,9,1.27,5
20160407 14:00,2.7,81,39.7,9,1.27,5
20160407 14:30,2.3,69,37.8,9,1.27,5
20160407 15:00,2,60,36,9,1.27,5
20160407 15:30,1.8,54,36.8,8.7,1.27,5
20160407 16:00,1.7,51,37.7,8.3,1.27,5
20160407 16:30,1.5,45,38.5,8,1.27,5
20160407 17:00,1.3,39,39.3,7.7,1.27,5
20160407 17:30,1.2,36,40.2,7.3,1.27,5
20160407 18:00,1,30,41,7,1.27,5
20160407 18:30,0.8,24,40.3,6.7,1.27,5
20160407 19:00,0.7,21,39.7,6.3,1.27,5
20160407 19:30,0.5,15,39,6,1.27,5
20160407 20:00,0.3,9,38.3,5.7,1.27,5
20160407 20:30,0.2,6,37.7,5.3,1.27,5
20160407 21:00,0,0,37,5,1.27,5
20160407 21:30,0,0,31.8,4.8,1.27,5
20160407 22:00,0,0,26.7,4.7,1.27,5
20160407 22:30,0,0,21.5,4.5,1.27,5
20160407 23:00,0,0,16.3,4.3,1.27,5
20160407 23:30,0,0,11.2,4.2,1.27,5
20160408 00:00,0,0,3,7,1.27,5
20160408 00:30,0,0,3.5,7,1.27,5
20160408 01:00,0,0,4,7,1.27,5
20160408 01:30,0,0,4.5,7,1.27,5
20160408 02:00,0,0,5,7,1.27,5
20160408 02:30,0,0,5.5,7,1.27,5
20160408 03:00,0,0,6,7,1.27,5
20160408 03:30,0.2,6,8.2,7,1.27,5
20160408 04:00,0.3,9,10.3,7,1.27,5
20160408 04:30,0.5,15,12.5,7,1.27,5
20160408 05:00,0.7,21,14.7,7,1.27,5
20160408 05:30,0.8,24,16.8,7,1.27,5
20160408 06:00,1,30,19,7,1.27,5
20160408 06:30,1.2,36,23,7.3,1.27,5
20160408 07:00,1.3,39,27,7.7,1.27,5
20160408 07:30,1.5,45,31,8,1.27,5
20160408 08:00,1.7,51,35,8.3,1.27,5
20160408 08:30,1.8,54,39,8.7,1.27,5
20160408 09:00,2,60,43,9,1.27,5
20160408 09:30,2.3,69,43.7,9,1.27,5
20160408 10:00,2.7,81,44.3,9,1.27,5
20160408 10:30,3,90,45,9,1.27,5
20160408 11:00,3.3,99,45.7,9,1.27,5
20160408 11:30,3.7,111,46.3,9,1.27,5
20160408 12:00,4,120,47,9,1.27,5
20160408 12:30,3.7,111,45.2,9,1.27,5
20160408 13:00,3.3,99,43.3,9,1.27,5
20160408 13:30,3,90,41.5,9,1.27,5
20160408 14:00,2.7,81,39.7,9,1.27,5
20160408 14:30,2.3,69,37.8,9,1.27,5
20160408 15:00,2,60,36,9,1.27,5
20160408 15:30,1.8,54,36.8,8.7,1.27,5
20160408 16:00,1.7,51,37.7,8.3,1.27,5
20160408 16:30,1.5,45,38.5,8,1.27,5
20160408 17:00,1.3,39,39.3,7.7,1.27,5
20160408 17:30,1.2,36,40.2,7.3,1.27,5
20160408 18:00,1,30,41,7,1.27,5
20160408 18:30,0.8,24,40.3,6.7,1.27,5
20160408 19:00,0.7,21,39.7,6.3,1.27,5
20160408 19:30,0.5,15,39,6,1.27,5
20160408 20:00,0.3,9,38.3,5.7,1.27,5
20160408 20:30,0.2,6,37.7,5.3,1.27,5
20160408 21:00,0,0,37,5,1.27,5
20160408 21:30,0,0,31.8,4.8,1.27,5
20160408 22:00,0,0,26.7,4.7,1.27,5
20160408 22:30,0,0,21.5,4.5,1.27,5
20160408 23:00,0,0,16.3,4.3,1.27,5
20160408 23:30,0,0,11.2,4.2,1.27,5
20160409 00:00,0,0,3,7,1.27,5
20160409 00:30,0,0,3.5,7,1.27,5
20160409 01:00,0,0,4,7,1.27,5
20160409 01:30,0,0,4.5,7,1.27,5
20160409 02:00,0,0,5,7,1.27,5
20160409 02:30,0,0,5.5,7,1.27,5
20160409 03:00,0,0,6,7,1.27,5
20160409 03:30,0.2,6,8.2,7,1.27,5
20160409 04:00,0.3,9,10.3,7,1.27,5
20160409 04:30,0.5,15,12.5,7,1.27,5
20160409 05:00,0.7,21,14.7,7,1.27,5
20160409 05:30,0.8,24,16.8,7,1.27,5
20160409 06:00,1,30,19,7,1.27,5
20160409 06:30,1.2,36,23,7.3,1.27,5
20160409 07:00,1.3,39,27,7.7,1.27,5
20160409 07:30,1.5,45,31,8,1.27,5
20160409 08:00,1.7,51,35,8.3,1.27,5
20160409 08:30,1.8,54,39,8.7,1.27,5
20160409 09:00,2,60,43,9,1.27,5
20160409 09:30,2.3,69,43.7,9,1.27,5
20160409 10:00,2.7,81,44.3,9,1.27,5
20160409 10:30,3,90,45,9,1.27,5
20160409 11:00,3.3,99,45.7,9,1.27,5
20160409 11:30,3.7,111,46.3,9,1.27,5
20160409 12:00,4,120,47,9,1.27,5
20160409 12:30,3.7,111,45.2,9,1.27,5
20160409 13:00,3.3,99,43.3,9,1.27,5
20160409 13:30,3,90,41.5,9,1.27,5
20160409 14:00,2.7,81,39.7,9,1.27,5
20160409 14:30,2.3,69,37.8,9,1.27,5
20160409 15:00,2,60,36,9,1.27,5
20160409 15:30,1.8,54,36.8,8.7,1.27,5
20160409 16:00,1.7,51,37.7,8.3,1.27,5
20160409 16:30,1.5,45,38.5,8,1.27,5
20160409 17:00,1.3,39,39.3,7.7,1.27,5
20160409 17:30,1.2,36,40.2,7.3,1.27,5
20160409 18:00,1,30,41,7,1.27,5
20160409 18:30,0.8,24,40.3,6.7,1.27,5
20160409 19:00,0.7,21,39.7,6.3,1.27,5
20160409 19:30,0.5,15,39,6,1.27,5
20160409 20:00,0.3,9,38.3,5.7,1.27,5
20160409 20:30,0.2,6,37.7,5.3,1.27,5
20160409 21:00,0,0,37,5,1.27,5
20160409 21:30,0,0,31.8,4.8,1.27,5
20160409 22:00,0,0,26.7,4.7,1.27,5
20160409 22:30,0,0,21.5,4.5,1.27,5
20160409 23:00,0,0,16.3,4.3,1.27,5
20160409 23:30,0,0,11.2,4.2,1.27,5
20160410 00:00,0,0,3,7,1.27,5
20160410 00:30,0,0,3.5,7,1.27,5
20160410 01:00,0,0,4,7,1.27,5
20160410 01:30,0,0,4.5,7,1.27,5
20160410 02:00,0,0,5,7,1.27,5
20160410 02:30,0,0,5.5,7,1.27,5
20160410 03:00,0,0,6,7,1.27,5
20160410 03:30,0.2,6,8.2,7,1.27,5
20160410 04:00,0.3,9,10.3,7,1.27,5
20160410 04:30,0.5,15,12.5,7,1.27,5
20160410 05:00,0.7,21,14.7,7,1.27,5
20160410 05:30,0.8,24,16.8,7,1.27,5
20160410 06:00,1,30,19,7,1.27,5
20160410 06:30,1.2,36,23,7.3,1.27,5
20160410 07:00,1.3,39,27,7.7,1.27,5
20160410 07:30,1.5,45,31,8,1.27,5
20160410 08:00,1.7,51,35,8.3,1.27,5
20160410 08:30,1.8,54,39,8.7,1.27,5
20160410 09:00,2,60,43,9,1.27,5
20160410 09:30,2.3,69,43.7,9,1.27,5
20160410 10:00,2.7,81,44.3,9,1.27,5
20160410 10:30,3,90,45,9,1.27,5
20160410 11:00,3.3,99,45.7,9,1.27,5
20160410 11:30,3.7,111,46.3,9,1.27,5
20160410 12:00,4,120,47,9,1.27,5
20160410 12:30,3.7,111,45.2,9,1.27,5
20160410 13:00,3.3,99,43.3,9,1.27,5
20160410 13:30,3,90,41.5,9,1.27,5
20160410 14:00,2.7,81,39.7,9,1.27,5
20160410 14:30,2.3,69,37.8,9,1.27,5
20160410 15:00,2,60,36,9,1.27,5
20160410 15:30,1.8,54,36.8,8.7,1.27,5
20160410 16:00,1.7,51,37.7,8.3,1.27,5
20160410 16:30,1.5,45,38.5,8,1.27,5
20160410 17:00,1.3,39,39.3,7.7,1.27,5
20160410 17:30,1.2,36,40.2,7.3,1.27,5
20160410 18:00,1,30,41,7,1.27,5
20160410 18:30,0.8,24,40.3,6.7,1.27,5
20160410 19:00,0.7,21,39.7,6.3,1.27,5
20160410 19:30,0.5,15,39,6,1.27,5
20160410 20:00,0.3,9,38.3,5.7,1.27,5
20160410 20:30,0.2,6,37.7,5.3,1.27,5
20160410 21:00,0,0,37,5,1.27,5
20160410 21:30,0,0,31.8,4.8,1.27,5
20160410 22:00,0,0,26.7,4.7,1.27,5
20160410 22:30,0,0,21.5,4.5,1.27,5
20160410 23:00,0,0,16.3,4.3,1.27,5
20160410 23:30,0,0,11.2,4.2,1.27,5
20160411 00:00,0,0,68,8,1.27,5
20160411 00:30,0,0,59.2,8,1.27,5
20160411 01:00,0,0,50.3,8,1.27,5
20160411 01:30,0,0,41.5,8,1.27,5
20160411 02:00,0,0,32.7,8,1.27,5
20160411 02:30,0,0,23.8,8,1.27,5
20160411 03:00,0,0,15,8,1.27,5
20160411 03:30,0.2,6,19,8,1.27,5
20160411 04:00,0.3,9,23,8,1.27,5
20160411 04:30,0.5,15,27,8,1.27,5
20160411 05:00,0.7,21,31,8,1.27,5
20160411 05:30,0.8,24,35,8,1.27,5
20160411 06:00,1,30,39,8,1.27,5
20160411 06:30,1.2,36,34.2,8.3,1.27,5
20160411 07:00,1.3,39,29.3,8.7,1.27,5
20160411 07:30,1.5,45,24.5,9,1.27,5
20160411 08:00,1.7,51,19.7,9.3,1.27,5
20160411 08:30,1.8,54,14.8,9.7,1.27,5
20160411 09:00,2,60,10,10,1.27,5
20160411 09:30,2.2,66,15.3,10.3,1.27,5
20160411 10:00,2.3,69,20.7,10.7,1.27,5
20160411 10:30,2.5,75,26,11,1.27,5
20160411 11:00,2.7,81,31.3,11.3,1.27,5
20160411 11:30,2.8,84,36.7,11.7,1.27,5
20160411 12:00,3,90,42,12,1.27,5
20160411 12:30,2.7,81,48.3,11.8,1.27,5
20160411 13:00,2.3,69,54.7,11.7,1.27,5
20160411 13:30,2,60,61,11.5,1.27,5
20160411 14:00,1.7,51,67.3,11.3,1.27,5
20160411 14:30,1.3,39,73.7,11.2,1.27,5
20160411 15:00,1,30,80,11,1.27,5
20160411 15:30,1,30,80.7,10.8,1.27,5
20160411 16:00,1,30,81.3,10.7,1.27,5
20160411 16:30,1,30,82,10.5,1.27,5
20160411 17:00,1,30,82.7,10.3,1.27,5
20160411 17:30,1,30,83.3,10.2,1.27,5
20160411 18:00,1,30,84,10,1.27,5
20160411 18:30,0.8,24,79,9.8,1.27,5
20160411 19:00,0.7,21,74,9.7,1.27,5
20160411 19:30,0.5,15,69,9.5,1.27,5
20160411 20:00,0.3,9,64,9.3,1.27,5
20160411 20:30,0.2,6,59,9.2,1.27,5
20160411 21:00,0,0,54,9,1.27,5
20160411 21:30,0,0,47.7,8.8,1.27,5
20160411 22:00,0,0,41.3,8.7,1.27,5
20160411 22:30,0,0,35,8.5,1.27,5
20160411 23:00,0,0,28.7,8.3,1.27,5
20160411 23:30,0,0,22.3,8.2,1.27,5
20160412 00:00,0,0,5,7,1.27,5
20160412 00:30,0,0,5.2,6.8,1.27,5
20160412 01:00,0,0,5.3,6.7,1.27,5
20160412 01:30,0,0,5.5,6.5,1.27,5
20160412 02:00,0,0,5.7,6.3,1.27,5
20160412 02:30,0,0,5.8,6.2,1.27,5
20160412 03:00,0,0,6,6,1.27,5
20160412 03:30,0.2,6,6.3,5.8,1.27,5
20160412 04:00,0.3,9,6.7,5.7,1.27,5
20160412 04:30,0.5,15,7,5.5,1.27,5
20160412 05:00,0.7,21,7.3,5.3,1.27,5
20160412 05:30,0.8,24,7.7,5.2,1.27,5
20160412 06:00,1,30,8,5,1.27,5
20160412 06:30,1.2,36,7.5,5.5,1.27,5
20160412 07:00,1.3,39,7,6,1.27,5
20160412 07:30,1.5,45,6.5,6.5,1.27,5
20160412 08:00,1.7,51,6,7,1.27,5
20160412 08:30,1.8,54,5.5,7.5,1.27,5
20160412 09:00,2,60,5,8,1.27,5
20160412 09:30,2.3,69,4.5,8.7,1.27,5
20160412 10:00,2.7,81,4,9.3,1.27,5
20160412 10:30,3,90,3.5,10,1.27,5
